a2jmidid 8-1
libraw1394 2.1.2-1
libreoffice-fresh 5.1.3-1
librevenge 0.0.4-1
librpcsecgss 0.19-8
librsvg 2:2.40.16-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.3.1-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsidplay 1.36.59-7
libsigc++ 2.8.0-1
libsigsegv 2.10-2
libsm 1.2.2-2
libsndfile 1.0.26-1
libsndobj-cvs 20100712-1
libsodium 1.0.10-1
libsoup 2.54.1-1
libsoxr 0.1.2-1
libspiro 1:0.5.20150702-1
libspnav 0.2.3-1
libsrtp 1:1.5.4-1
libssh 0.7.3-1
libssh2 1.7.0-2
libsynctex 2015.37497-12
libsystemd 230-3
libtar 1.2.20-2
libtasn1 4.8-2
libteam 1.23-1
libthai 0.1.24-1
libtheora 1.1.1-3
libtiff 4.0.6-2
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-5
libtorrent-rasterbar 1:1.0.9-1
libtxc_dxtn 1.0.1-6
libunibreak 3.0-2
libunique 1.1.6-6
libunistring 0.9.6-1
libunwind 1.1-3
libupnp 1.6.19-1
libusb 1.0.20-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.10-1
libutil-linux 2.28-1
libuv 1.9.1-1
libva 1.7.0-1
libva-intel-driver 1.7.0-1
libvdpau 1.1.1-2
libvisio 0.1.5-2
libvisual 0.4.0-6
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.5.0-4
libwacom 0.18-1
libwbclient 4.4.4-1
libwebp 0.5.0-1
libwmf 0.2.8.4-13
libwnck 2.31.0-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.3-1
libx11 1.6.3-1
libx264 2:148.20160103-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.2-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.6-1
libxinerama 1.1.3-2
libxkbcommon 0.6.1-1
libxkbcommon-x11 0.6.1-1
libxkbfile 1.0.9-1
libxml++ 2.40.1-1
libxml2 2.9.4+0+gbdec218-2
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.9-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.6-1
libzip 1.1.2-1
licenses 20140629-1
lilv 0.22.0-2
linux 4.6.2-1
linux-api-headers 4.5.5-1
linux-firmware 20160516.80d463b-1
linux-headers 4.6.2-1
linuxsampler-svn r2923-1
lirc 1:0.9.3.a-2
llvm 3.8.0-1
llvm-libs 3.8.0-1
llvm-ocaml 3.8.0-1
lm_sensors 3.4.0-1
log4cplus 1.2.0-2
logrotate 3.9.2-1
lpsolve 5.5.2.0-3
lua 5.3.3-1
lua51 5.1.5-5
lucene++ 3.0.7-6
lv2 1.12.0-1
lvm2 2.02.154-3
lwks 12.6.0-1
lxappearance-gtk3 0.6.2-1
lxmenu-data 0.1.5-1
lz4 131-1
lzo 2.09-1
m4 1.4.17-2
make 4.1-4
man-db 2.7.5-2
man-pages 4.06-1
mariadb 10.1.14-1
mariadb-clients 10.1.14-1
mdadm 3.4-1
menu-cache 1.0.1-2
mesa 11.2.2-1
mesa-libgl 11.2.2-1
mime-types 9-1
mingw-w64-binutils 2.26-1
mingw-w64-crt 4.0.6-1
mingw-w64-gcc 6.1.1-1
mingw-w64-headers 4.0.6-1
mingw-w64-pkg-config 2-3
mingw-w64-winpthreads 4.0.6-1
minicom 2.7-2
mjpegtools 2.1.0-2
mkinitcpio 19-1
mkinitcpio-busybox 1.24.1-1
mlt 6.2.0-1
mlt-python-bindings 6.2.0-1
mobile-broadband-provider-info 20151214-1
mozilla-common 1.4-4
mpfr 3.1.4.p1-1
mpg123 1.23.3-1
mplayer 37857-1
mtdev 1.1.5-1
mtools 4.0.18-3
musicbrainz 2.1.5-7
mxml 2.9-1
nano 2.5.3-2
nautilus-sendto 3.8.3-1
ncdu 1.11-3
ncurses 6.0-4
neon 0.30.1-2
net-snmp 5.7.3-3
netcdf 4.4.1rc1-1
netctl 1.11-1
nethogs 0.8.1-1
nettle 3.2-2
network-manager-applet 1.2.2-1
networkmanager 1.2.2-1
nfs-utils 1.3.3-3
nfsidmap 0.26-1
nm-connection-editor 1.2.2-1
nodejs 6.2.1-1
non-daw-git 0.r1824.16885e6-1
npm 3.9.5-1
npth 1.2-1
nspr 4.12-1
nss 3.24-1
ntfs-3g 2016.2.22-1
ntk-git 0.r151.5719b00-1
numactl 2.0.11-1
numix-circle-icon-theme-git 0.r3268.82ece89-1
numix-icon-theme-git 0.r1777.b4c5739-1
nvidia-cg-toolkit 3.1-3
ocaml 4.02.3-2
ocaml-ctypes 0.4.1-3
ocaml-findlib 1.6.2-1
ocl-icd 2.2.9-1
octave 4.0.2-1
onboard 1.2.0-2
openal 1.17.2-2
openav-luppp-git 1.0.1.r16.g1fedf48-1
opencollada 20150702-3
opencolorio 1.0.9-4
opencore-amr 0.1.3-2
opencv 3.1.0-3
openexr 2.2.0-3
openimageio 1.6.14-1
openjpeg 1.5.2-1
openjpeg2 2.1.0-1
openmpi 1.10.2-1
openresolv 3.8.1-1
openshadinglanguage 1.7.2-2
openshot 1.4.3-6
openssh 7.2p2-2
openssl 1.0.2.h-1
opensubdiv 3.0.2-3
openvdb 3.1.0-3
openvpn 2.3.11-1
opus 1.1.2-1
orbit2 2.14.19-3
orc 0.4.25-1
ostree 2016.5-2
p11-kit 0.23.2-1
p7zip 15.14.1-2
package-query 1.8-2
pacman 5.0.1-4
pacman-mirrorlist 20160610-1
pam 1.2.1-3
pambase 20130928-1
pango 1.40.1-1
pango-perl 1.227-2
pangomm 2.40.0-1
pangox-compat 0.0.2-2
parted 3.2-4
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.1-1
pcmanfm 1.2.4-1
pcmciautils 018-7
pcre 8.38-3
pd-extended 0.43.4-5
perl 5.24.0-1
perl-anyevent 4:7.12-2
perl-async-interrupt 1.21-3
perl-bit-vector 7.4-3
perl-canary-stability 2011-2
perl-capture-tiny 0.36-1
perl-carp-clan 6.06-1
perl-class-accessor 0.34-4
perl-class-data-inheritable 0.08-6
perl-common-sense 3.74-1
perl-cpan-perl-releases 2.58-1
perl-data-random 0.12-1
perl-date-calc 6.4-1
perl-devel-patchperl 1.40-1
perl-digest-hmac 1.03-3
perl-digest-sha1 2.13-7
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-ev 4.22-2
perl-file-basedir 0.07-1
perl-file-copy-recursive 0.38-1
perl-file-listing 6.04-2
perl-file-path-tiny 0.8-1
perl-file-pushd 1.009-1
perl-file-slurp-tiny 0.004-1
perl-file-which 1.21-1
perl-gd 2.56-4
perl-gnome2-wnck 0.16-11
perl-goo-canvas 0.06-7
perl-gtk2-imageview 0.05-7
perl-gtk2-unique 0.05-13
perl-guard 1.023-3
perl-html-form 6.03-2
perl-html-parser 3.72-2
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-2
perl-http-negotiate 6.01-2
perl-http-response-encoding 0.06-3
perl-http-server-simple 0.51-1
perl-image-exiftool 10.15-1
perl-io-html 1.001-1
perl-io-socket-ssl 2.027-1
perl-io-string 1.08-9
perl-ipc-system-simple 1.25-1
perl-json 2.90-1
perl-json-xs 3.02-3
perl-libwww 6.15-1
perl-local-lib 2.000019-1
perl-locale-gettext 1.07-2
perl-lwp-mediatypes 6.02-2
perl-lwp-protocol-https 6.06-2
perl-module-pluggable 5.2-1
